date,cash,regime,note,BTCUSDT_qty,BTCUSDT_equity,ETHUSDT_qty,ETHUSDT_equity,XRPUSDT_qty,XRPUSDT_equity,SOLUSDT_qty,SOLUSDT_equity,ADAUSDT_qty,ADAUSDT_equity,DOGEUSDT_qty,DOGEUSDT_equity,HBARUSDT_qty,HBARUSDT_equity,TRXUSDT_qty,TRXUSDT_equity,LINKUSDT_qty,LINKUSDT_equity,XLMUSDT_qty,XLMUSDT_equity,VIRTUALUSDT_qty,VIRTUALUSDT_equity,SUIUSDT_qty,SUIUSDT_equity,HUMAUSDT_qty,HUMAUSDT_equity,PEPEUSDT_qty,PEPEUSDT_equity,portfolio_equity,btc_drawdown,buy_frozen,holdings_str
11/2/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/3/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/4/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/5/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/6/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/7/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/8/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/9/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/10/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/11/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/12/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/13/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/14/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
11/15/2021,1000,,WARMUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,,None
